inchikey,n1_frag,n3_frag,c4_frag,c5_frag,smiles_cation,smiles_neutral
RFSKPKDFHCQRNI-UHFFFAOYSA-N,nBu,Propargyl,NO2,CN,C#CCn1c[n+](CCCC)c(C#N)c1[N+](=O)[O-],C#CCN1[C]N(CCCC)C(C#N)=C1[N+](=O)[O-]
RGKDESAFWJYQCD-UHFFFAOYSA-N,Me,tBu,NH2,CN,C[n+]1cn(C(C)(C)C)c(N)c1C#N,CN1[C]N(C(C)(C)C)C(N)=C1C#N
RGPPTVNIQMDPFA-UHFFFAOYSA-N,Ethynyl,Ethynyl,H,CF3,C#Cn1cc(C(F)(F)F)[n+](C#C)c1,C#CN1[C]N(C#C)C(C(F)(F)F)=C1
RGZPHEZJRRRGFW-UHFFFAOYSA-N,nBu,Allyl,CF3,CF3,C=CCn1c[n+](CCCC)c(C(F)(F)F)c1C(F)(F)F,C=CCN1[C]N(CCCC)C(C(F)(F)F)=C1C(F)(F)F
RIEQYLGFBWEKIR-UHFFFAOYSA-N,tBu,Vinyl,OMe,CN,C=Cn1c[n+](C(C)(C)C)c(C#N)c1OC,C=CN1[C]N(C(C)(C)C)C(C#N)=C1OC
RIFVDAPLZDPQEE-UHFFFAOYSA-N,nBu,tBu,OMe,NO2,CCCC[n+]1cn(C(C)(C)C)c(OC)c1[N+](=O)[O-],CCCCN1[C]N(C(C)(C)C)C(OC)=C1[N+](=O)[O-]
RIRQGNXGLJEVFU-UHFFFAOYSA-N,Et,iPr,H,NH2,CC[n+]1cn(C(C)C)cc1N,CCN1[C]N(C(C)C)C=C1N
RJEDBPFJCBDHEU-UHFFFAOYSA-N,nBu,Ethynyl,NH2,CF3,C#Cn1c[n+](CCCC)c(C(F)(F)F)c1N,C#CN1[C]N(CCCC)C(C(F)(F)F)=C1N
RKJBRJLYYVRQLZ-UHFFFAOYSA-N,Me,Ethynyl,NO2,F,C#Cn1c[n+](C)c(F)c1[N+](=O)[O-],C#CN1[C]N(C)C(F)=C1[N+](=O)[O-]
RKKOVSRXLWJTKO-UHFFFAOYSA-N,Me,Allyl,NO2,H,C=CCn1c[n+](C)cc1[N+](=O)[O-],C=CCN1[C]N(C)C=C1[N+](=O)[O-]
RLHGCNRENCLTSV-UHFFFAOYSA-N,tBu,Ethynyl,OMe,H,C#Cn1c[n+](C(C)(C)C)cc1OC,C#CN1[C]N(C(C)(C)C)C=C1OC
